dataset,arch,repr,pretrain,fold_number,random_state,batch_size,stride_series,window_length,window_time_stride,window_patt_stride,train_events_per_class,train_event_multiplier,nevents_train,pret_event_multiplier,nevents_pret,test_event_multiplier,nevents_test,tgt_best_model,tgt_train_csv,tgt_nepochs,target_val_acc,target_test_acc,target_val_f1,target_test_f1,target_val_auroc,target_test_auroc,pre_val_mse,pre_val_r2,pre_best_model,pre_train_csv,pre_nepochs
GunPoint,CNN,DF,False,2,0,128,True,5,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1/checkpoints/epoch=116-step=21060.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1/metrics.csv,116,0.5335677266120911,0.5025004148483276,0.5335677266120911,0.5025004148483276,0.5379338264465332,0.48237499594688416,,,,,
GunPoint,CNN,DF,True,2,0,128,True,5,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=110-step=19980.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1_pre/metrics.csv,110,0.5512795448303223,0.5274522304534912,0.5512795448303223,0.5274522304534912,0.5648149251937866,0.5519956350326538,1.1912094354629517,-0.40504807233810425,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1_pre/checkpoints/epoch=110-step=19980.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts1_wps1_pre/metrics.csv,58
GunPoint,CNN,DF,False,2,0,128,True,10,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1/checkpoints/epoch=113-step=20520.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1/metrics.csv,113,0.5165743827819824,0.4981374740600586,0.5165743827819824,0.4981374740600586,0.538735568523407,0.488563597202301,,,,,
GunPoint,CNN,DF,True,2,0,128,True,10,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=104-step=18900.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1_pre/metrics.csv,104,0.5644415616989136,0.5581026077270508,0.5644415616989136,0.5581026077270508,0.6049080491065979,0.5783273577690125,0.6287607550621033,0.608567476272583,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1_pre/checkpoints/epoch=104-step=18900.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw10_wts1_wps1_pre/metrics.csv,59
GunPoint,CNN,DF,False,2,0,128,True,15,1,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1/checkpoints/epoch=57-step=10440.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1/metrics.csv,57,0.5387871861457825,0.44273656606674194,0.5387871861457825,0.44273656606674194,0.5589924454689026,0.44006431102752686,,,,,
GunPoint,CNN,DF,True,2,0,128,True,15,1,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=117-step=21240.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1_pre/metrics.csv,117,0.5721357464790344,0.528709888458252,0.5721357464790344,0.528709888458252,0.6098873615264893,0.5442512631416321,1.0188289880752563,-0.02766331471502781,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1_pre/checkpoints/epoch=117-step=21240.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw15_wts1_wps1_pre/metrics.csv,53
GunPoint,CNN,DF,False,2,0,128,True,5,2,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_wts2_wps1/checkpoints/epoch=109-step=19800.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_wts2_wps1/metrics.csv,109,0.517876923084259,0.5154080390930176,0.517876923084259,0.5154080390930176,0.5150576829910278,0.5109571218490601,,,,,
GunPoint,CNN,DF,True,2,0,128,True,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=68-step=12420.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,68,0.5926408171653748,0.5756336450576782,0.5926408171653748,0.5756336450576782,0.6207356452941895,0.5935543775558472,1.1854474544525146,-0.39136436581611633,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_ts2_ps1_pre_st/checkpoints/epoch=68-step=12420.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_ts2_ps1_pre_st/metrics.csv,59
GunPoint,CNN,DF,True,2,0,128,False,5,2,1,32,4,256,8,512,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=95-step=17280.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,95,0.5623575448989868,0.528875470161438,0.5623575448989868,0.528875470161438,0.6005804538726807,0.5408875346183777,1.1685129404067993,-0.35191744565963745,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts2_wps1_pre_nst/checkpoints/epoch=95-step=17280.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw5_wts2_wps1_pre_nst/metrics.csv,57
GunPoint,CNN,DF,False,2,0,128,True,5,3,1,32,4,256,0,0,4,256,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_wts3_wps1/checkpoints/epoch=119-step=21600.ckpt,training/2023-03-29_18-30_EXP_wdw_DF_CNN_GunPoint_f2/logs/wdw_5_wts3_wps1/metrics.csv,119,0.5337718725204468,0.5191225409507751,0.5337718725204468,0.5191225409507751,0.5541552305221558,0.5198328495025635,,,,,
