dataset,arch,pretrained,fold_number,random_state,batch_size,window_size,target_val_acc,target_val_f1,target_val_auroc,target_test_acc,target_test_f1,target_test_auroc,target_best_model,target_train_csv,target_nepochs,nsamp_tra,nsamp_pre,nsamp_test,pretrain_val_acc,pretrain_val_f1,pretrain_val_auroc,pretrain_best_model,pretrain_train_csv,pretrain_nepochs
Coffee,CNN_DFS,False,1,0,128,5,0.3125,0.3125,0.0,0.4462890625,0.4462890625,0.3839503526687622,training/exp/EXP_ratio_f1.base_2023-03-09_03-48/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f1.base_2023-03-09_03-48/logs/target/metrics.csv,120,683,0,3131,,,,,,
Coffee,CNN_DFS,True,1,0,128,5,0.8125,0.8125,0.7571732997894287,0.5403645634651184,0.5403645634651184,0.5065943598747253,training/exp/EXP_ratio_f1.0_2023-03-09_04-03/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-03/logs/target/metrics.csv,120,683,1998,3131,0.824999988079071,0.824999988079071,0.9587365984916687,training/exp/EXP_ratio_f1.0_2023-03-09_04-03/logs/pretrain/checkpoints/epoch=57-step=580.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-03/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.69921875,0.69921875,0.6949573755264282,0.5172526240348816,0.5172526240348816,0.4824308454990387,training/exp/EXP_ratio_f1.0_2023-03-09_04-26/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-26/logs/target/metrics.csv,120,683,3997,3131,0.8609374761581421,0.8609374761581421,0.9538756608963013,training/exp/EXP_ratio_f1.0_2023-03-09_04-26/logs/pretrain/checkpoints/epoch=58-step=1180.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-26/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.796875,0.796875,0.7157670259475708,0.5452473759651184,0.5452473759651184,0.5087207555770874,training/exp/EXP_ratio_f1.0_2023-03-09_04-50/logs/target/checkpoints/epoch=0-step=3.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-50/logs/target/metrics.csv,120,683,5996,3131,0.86376953125,0.86376953125,0.9530147910118103,training/exp/EXP_ratio_f1.0_2023-03-09_04-50/logs/pretrain/checkpoints/epoch=55-step=1680.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_04-50/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.67578125,0.67578125,0.7556107640266418,0.4977213442325592,0.4977213442325592,0.5008996725082397,training/exp/EXP_ratio_f1.0_2023-03-09_05-16/logs/target/checkpoints/epoch=1-step=6.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_05-16/logs/target/metrics.csv,120,683,7995,3131,0.8638392686843872,0.8638392686843872,0.9576943516731262,training/exp/EXP_ratio_f1.0_2023-03-09_05-16/logs/pretrain/checkpoints/epoch=54-step=2200.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_05-16/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.65625,0.65625,0.7649857997894287,0.4873046875,0.4873046875,0.4891939163208008,training/exp/EXP_ratio_f1.0_2023-03-09_05-42/logs/target/checkpoints/epoch=1-step=6.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_05-42/logs/target/metrics.csv,120,683,9995,3131,0.8744212985038757,0.8744212985038757,0.9590344429016113,training/exp/EXP_ratio_f1.0_2023-03-09_05-42/logs/pretrain/checkpoints/epoch=54-step=2750.ckpt,training/exp/EXP_ratio_f1.0_2023-03-09_05-42/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,False,1,0,128,5,0.65625,0.65625,0.22952178120613098,0.4462890625,0.4462890625,0.3915245532989502,training/exp/EXP_ratio_f1.base_2023-03-09_06-10/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f1.base_2023-03-09_06-10/logs/target/metrics.csv,120,1366,0,3131,,,,,,
Coffee,CNN_DFS,True,1,0,128,5,0.689453125,0.689453125,0.6816152334213257,0.5380859375,0.5380859375,0.52756667137146,training/exp/EXP_ratio_f1.1_2023-03-09_06-26/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_06-26/logs/target/metrics.csv,120,1366,1998,3131,0.8187500238418579,0.8187500238418579,0.9524139761924744,training/exp/EXP_ratio_f1.1_2023-03-09_06-26/logs/pretrain/checkpoints/epoch=59-step=600.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_06-26/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.677734375,0.677734375,0.6510924100875854,0.5185546875,0.5185546875,0.5190930962562561,training/exp/EXP_ratio_f1.1_2023-03-09_06-50/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_06-50/logs/target/metrics.csv,120,1366,3997,3131,0.8570312261581421,0.8570312261581421,0.9544128775596619,training/exp/EXP_ratio_f1.1_2023-03-09_06-50/logs/pretrain/checkpoints/epoch=49-step=1000.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_06-50/logs/pretrain/metrics.csv,60
Coffee,CNN_DFS,True,1,0,128,5,0.65234375,0.65234375,0.6494859457015991,0.5231119990348816,0.5231119990348816,0.5179961919784546,training/exp/EXP_ratio_f1.1_2023-03-09_07-16/logs/target/checkpoints/epoch=0-step=6.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_07-16/logs/target/metrics.csv,120,1366,5996,3131,0.86767578125,0.86767578125,0.955533504486084,training/exp/EXP_ratio_f1.1_2023-03-09_07-16/logs/pretrain/checkpoints/epoch=55-step=1680.ckpt,training/exp/EXP_ratio_f1.1_2023-03-09_07-16/logs/pretrain/metrics.csv,60
